periodo;regiao_ars;ano;mes;ano_mes;estado_ano;episodios_urgencia;prioridade_verde_azul;taxa_internamento;tempo_medio_espera;tipo_agregacao
2016-11-18;ARS Algarve;2016;11;2016-11;parcial;667.0;33.58321;9.10596;43.76901;regional
2016-11-18;ARS Centro;2016;11;2016-11;parcial;3076.0;33.93461;9.465758;53.23455;regional
2016-11-18;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5784.0;45.64728;8.659754;67.85982;regional
2016-11-18;ARS Norte;2016;11;2016-11;parcial;5410.0;36.50943;9.66457;41.99399;regional
2016-11-18;Portugal Continental;2016;11;2016-11;parcial;16018.0;39.54499;9.22337;53.26994;nacional
2016-11-19;ARS Alentejo;2016;11;2016-11;parcial;1033.0;42.62069;9.337349;30.30484;regional
2016-11-19;ARS Algarve;2016;11;2016-11;parcial;549.0;35.70127;8.457711;67.74227;regional
2016-11-19;ARS Centro;2016;11;2016-11;parcial;2638.0;35.78581;9.712231;38.05175;regional
2016-11-19;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5311.0;45.66404;7.812175;49.82556;regional
2016-11-19;ARS Norte;2016;11;2016-11;parcial;5055.0;35.55195;8.992007;40.24947;regional
2016-11-19;Portugal Continental;2016;11;2016-11;parcial;14586.0;39.69954;8.692278;44.00838;nacional
2016-11-20;ARS Alentejo;2016;11;2016-11;parcial;1073.0;43.65621;9.587021;34.21765;regional
2016-11-20;ARS Algarve;2016;11;2016-11;parcial;574.0;38.67596;9.168444;60.325;regional
2016-11-20;ARS Centro;2016;11;2016-11;parcial;2639.0;34.27562;9.342105;44.0438;regional
2016-11-20;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;5324.0;45.0601;7.455969;51.80509;regional
2016-11-20;ARS Norte;2016;11;2016-11;parcial;4891.0;36.3864;9.086683;37.21032;regional
2016-11-20;Portugal Continental;2016;11;2016-11;parcial;14501.0;39.89626;8.512461;44.81315;nacional
2016-11-21;ARS Alentejo;2016;11;2016-11;parcial;1204.0;39.65937;8.278581;60.08817;regional
2016-11-21;ARS Algarve;2016;11;2016-11;parcial;761.0;38.10775;9.986859;62.68206;regional
2016-11-21;ARS Centro;2016;11;2016-11;parcial;3315.0;36.95055;8.51735;63.57254;regional
2016-11-21;ARS Lisboa e Vale do Tejo;2016;11;2016-11;parcial;6969.0;46.10117;7.063622;76.6345;regional
2016-11-21;ARS Norte;2016;11;2016-11;parcial;6300.0;37.6678;7.750841;51.22737;regional
2016-11-21;Portugal Continental;2016;11;2016-11;parcial;18549.0;40.82909;7.770291;63.72977;nacional
